"Route Name","Driver Name","Zone","Ward","Vehicle No","Route Type","Delete","Download","View Route","Edit"
"W55R1","","2-Bhuteswar","55-Govind Nagar","M010 UP14PT8107","doorToDoor","undefined","undefined","undefined","undefined"
"W43R3","n/a","2-Bhuteswar","43-Ganeshra","M036 UP14PT8105_C","doorToDoor","undefined","undefined","undefined","undefined"
"W43R2","n/a","2-Bhuteswar","43-Ganeshra","M036 UP14PT8105_C","doorToDoor","undefined","undefined","undefined","undefined"
"W43R4","n/a","2-Bhuteswar","43-Ganeshra","M093 UP85AG26941","doorToDoor","undefined","undefined","undefined","undefined"
"W65R1","n/a","1-City","65-Holi Gali","M230   UP85AG0665_C","doorToDoor","undefined","undefined","undefined","undefined"
"W35R1","n/a","1-City","35-Bankhandi","M132    UP85AG0770","doorToDoor","undefined","undefined","undefined","undefined"
"W22R1","n/a","1-City","22-Badhri Nagar","M134 UP85AG0970","doorToDoor","undefined","undefined","undefined","undefined"
"W19R3","n/a","1-City","19-Ramnagar Yamunapar","M115 UP85AG0887_C","doorToDoor","undefined","undefined","undefined","undefined"
"W14R2","n/a","1-City","14-Lakshmi Nagar Yamunapar","M124 DL51EV0233","doorToDoor","undefined","undefined","undefined","undefined"
"W14R1","n/a","1-City","14-Lakshmi Nagar Yamunapar","M066  UP85AG0889","doorToDoor","undefined","undefined","undefined","undefined"
"W16R2","n/a","2-Bhuteswar","16-Bakalpur","M073   UP85AG0753","doorToDoor","undefined","undefined","undefined","undefined"
"W65R5","n/a","1-City","65-Holi Gali","M232 UP85ET 7839_C","doorToDoor","undefined","undefined","undefined","undefined"
"W65R4","n/a","1-City","65-Holi Gali","M271 UP85ET 7847_C","doorToDoor","undefined","undefined","undefined","undefined"
"W38R1","n/a","3-Aurangabad","38-Civil lines","M065 UP85AG0888","doorToDoor","undefined","undefined","undefined","undefined"
"W16R3","n/a","2-Bhuteswar","16-Bakalpur","M255 UP85ET 7849","doorToDoor","undefined","undefined","undefined","undefined"
"W35R2","n/a","1-City","35-Bankhandi","UP14PT7749","doorToDoor","undefined","undefined","undefined","undefined"
